n,id,domain,era,claim,bom_hints,meso_hint,strength,contested
63,mc-c-063,society,multi,"Sociopolitical factions and civil war",Alma 51|Alma 61–62,"Factional warfare",high,no
64,mc-c-064,society,multi,"Religion differentiating social groups",Alma 31|4 Nephi,"Cult identity politics",medium,no
65,mc-c-065,society,multi,"Polygyny among elites (condemned)",Jacob 2–3,"Elite polygyny",medium,no
66,mc-c-066,society,multi,"Slavery / bond-servitude",Mosiah 7|Alma 27,"Captive labor",medium,no
67,mc-c-067,society,multi,"Urban vs hinterland populations",Alma 50|Helaman 3,"City-centered systems",medium,no
68,mc-c-068,society,multi,"Refugee incorporation",Omni 1:14|Alma 27|Mosiah 25,"Incorporation of migrants",high,no
69,mc-c-069,society,multi,"Ethnonyms as political labels",Jacob 1:13–14|Alma 3,"Ethnic labels as political",high,no
70,mc-c-070,society,multi,"Youth military cohorts",Alma 53|Alma 56,"Age-grade warriors",medium,no
71,mc-c-071,society,multi,"Oath-bound military brotherhoods",Alma 53:17–21,"Warrior sodalities",medium,no
72,mc-c-072,society,multi,"Professional robber bands",Helaman 2|3 Nephi 1–4,"Bandit polities",medium,no
73,mc-c-073,society,multi,"Mountains/wilderness as outlaw refuge",Helaman 11:25–31|3 Nephi 4,"Highland refuge zones",high,no
74,mc-c-074,society,multi,"Mass migration as strategy",Alma 63|Helaman 3,"Directed colonization",medium,no
75,mc-c-075,society,multi,"Bilingual society after mergers",Omni 1:17–19,"Language shift after merger",medium,no
76,mc-c-076,society,multi,"Apostate urban elites vs rural poor",Alma 32–35,"Urban cult stratification",medium,no
77,mc-c-077,society,multi,"Public judicial spectacle",Alma 1|Alma 30,"Public judicial ritual",low,no
78,mc-c-078,society,multi,"Festival and dance culture",Mosiah 20|Ether 8,"Festival and dance",medium,no
79,mc-c-079,society,multi,"Pacifist convert subgroups",Alma 24|Alma 27,"Cult-based nonviolence",low,yes
80,mc-c-080,society,multi,"Social collapse of unity over time",4 Nephi 1:20–46,"Fragmentation after florescence",low,yes
81,mc-c-081,society,multi,"Missionary specialist cohorts",Alma 17–26|Helaman 5,"Religious specialist cohorts",low,no
82,mc-c-082,society,multi,"Moral discourse to families",Mosiah 4|Alma 39–42,"Household moral instruction",low,no
83,mc-c-083,society,multi,"Endogamy/exogamy tensions",Alma 3|4 Nephi,"Marriage rules",low,no
84,mc-c-084,society,multi,"Gendered labor (weak textual signal)",Mosiah 9|Alma 32,"Gendered division of labor",low,yes
85,mc-c-085,society,multi,"Record-keeping as social role",Omni|Mormon 1,"Scribal social class",medium,no
86,mc-c-086,material_culture,multi,"No draft animals for cultivation",Enos 1|Alma 1,"No Old World plow animals",high,no
87,mc-c-087,material_culture,multi,"Plant-based fermented drinks (“wine”)",Mosiah 11:15|Alma 55,"Pulque and other ferments",medium,yes
88,mc-c-088,material_culture,multi,"Cement in timber-poor north",Helaman 3:7–11,"Lime plaster/cement",high,no
89,mc-c-089,material_culture,multi,"Raised highways / roads",3 Nephi 6:8,"Sacbeob and roads",medium,no
90,mc-c-090,material_culture,multi,"Temples as monumental centers",2 Nephi 5:16|Mosiah 2|3 Nephi 11,"Temple-pyramid centers",high,no
91,mc-c-091,material_culture,multi,"Towers for watch and ceremony",Mosiah 11:12–13|Helaman 7:10,"Towers/platforms",medium,no
92,mc-c-092,material_culture,multi,"Ditches, banks, timber walls",Alma 49–53,"Earthworks and palisades",high,no
93,mc-c-093,material_culture,multi,"Breastworks and pickets",Alma 50:2–4,"Timber defenses",medium,no
94,mc-c-094,material_culture,multi,"Bows, arrows, clubs, slings, stones",Alma 2|Alma 49,"Mesoamerican weapon kit",medium,yes
95,mc-c-095,material_culture,multi,"Padded armor / thick clothing",Alma 43:19–21,"Cotton armor",medium,no
96,mc-c-096,material_culture,multi,"Battle standards",Alma 46,"Military banners",medium,no
97,mc-c-097,material_culture,multi,"Gold/silver/copper metallurgy (extent debated)",1 Nephi 18:25|Helaman 6:9,"Known metals; steel contested",low,yes
98,mc-c-098,material_culture,multi,"Fine plant-fiber textiles",Alma 1:29|Alma 4:6,"Cotton/maguey cloth",medium,yes
99,mc-c-099,material_culture,multi,"Royal palaces",Mosiah 11|Alma 22,"Elite palaces",high,no
100,mc-c-100,material_culture,multi,"Prisons",Alma 14|Helaman 5,"Captive holding",medium,no
101,mc-c-101,material_culture,multi,"Ships and coastal craft",Alma 63|Helaman 3:10,"Watercraft; large ships debated",medium,yes
102,mc-c-102,material_culture,multi,"Grain agriculture foundation",Mosiah 9:9|Helaman 11,"Maize complex",high,no
103,mc-c-103,material_culture,multi,"Flocks/herds (species mapping debated)",2 Nephi 5|Alma 1,"Deer/turkey/dog; sheep contested",low,yes
104,mc-c-104,material_culture,multi,"Horses mentioned (semantic debate)",Alma 18:9|3 Nephi 3:22,"No classic horse complex",low,yes
105,mc-c-105,material_culture,multi,"Chariots mentioned (debated)",Alma 18:9,"No wheeled war chariots",low,yes
106,mc-c-106,material_culture,multi,"Elephants / cureloms (Jaredite)",Ether 9:19,"Megafauna timing contested",low,yes
107,mc-c-107,material_culture,multi,"Honey / stingless bees",1 Nephi 17–18,"Native bees",medium,no
108,mc-c-108,material_culture,multi,"Idols and cult images",Alma 31|Mormon 4:14,"Cult images",medium,no
109,mc-c-109,material_culture,multi,"Cities with walls and gates",Alma 49|Alma 62,"Walled settlements",high,no
110,mc-c-110,material_culture,multi,"Elite gardens by houses",Helaman 7:10,"Elite garden compounds",medium,no
111,mc-c-111,material_culture,multi,"Timber scarcity driving cement",Helaman 3:5–7,"Deforestation zones",medium,no
112,mc-c-112,material_culture,multi,"Massive earthwork labor",Alma 48–53,"Large labor projects",high,no
113,mc-c-113,material_culture,multi,"Thrones / elevated seats",Mosiah 11|Alma 60,"Ruler seats",medium,no
114,mc-c-114,material_culture,multi,"Iron tools (contested)",2 Nephi 5:15,"Iron claims contested",low,yes
115,mc-c-115,material_culture,multi,"Sacred hills / high places",Alma 31:13|Mormon 6,"Hilltop shrines",medium,no
116,mc-c-116,material_culture,multi,"Highways broken by catastrophe",3 Nephi 8:13,"Infrastructure collapse",medium,no
117,mc-c-117,material_culture,multi,"Food storage technology",3 Nephi 4|Helaman 11,"Storage facilities",medium,no
118,mc-c-118,material_culture,multi,"Obsidian/tool stone economies",Enos 1:20,"Obsidian exchange",low,yes
119,mc-c-119,material_culture,multi,"Sealed masonry constructions",Helaman 3,"Masonry architecture",medium,no
120,mc-c-120,material_culture,multi,"Banners of identity",Alma 46:12–13,"Standards/emblems",low,yes
121,mc-c-121,material_culture,multi,"Wine-press imagery as cultural memory",Mosiah 11,"Local ferment production",low,yes
122,mc-c-122,material_culture,multi,"Intensive agriculture (terracing/irrigation possible)",Mosiah 9,"Intensive farming",medium,no
123,mc-c-123,government,multi,"Transition from kings to judges",Mosiah 29,"Constitutional change",medium,no
124,mc-c-124,government,multi,"Chief judge as head of state",Alma 1–4,"High political office",medium,no
125,mc-c-125,government,multi,"Lower judges hierarchy",Mosiah 29:11|Alma 11,"Administrative hierarchy",medium,no
126,mc-c-126,government,multi,"Voice of the people / election",Mosiah 29|Alma 2,"Collective assent",medium,no
127,mc-c-127,government,multi,"Fragile governments and coups",Helaman 1|Alma 51,"Usurpation patterns",high,no
128,mc-c-128,government,multi,"Schisms creating new kingdoms",Alma 47|Ether 7,"Political fragmentation",high,no
129,mc-c-129,government,multi,"Aging kings transferring power",Mosiah 1–2|Mosiah 29,"Succession management",medium,no
130,mc-c-130,government,multi,"Imprisonment of rivals",Alma 51|Alma 62,"Political prisons",medium,no
131,mc-c-131,government,multi,"Capital seizure as war aim",Helaman 1:18–19,"Strike the capital",high,no
132,mc-c-132,government,multi,"Border captains / provincial command",Alma 53–58,"Military governors",medium,no
133,mc-c-133,government,multi,"Front-to-capital correspondence",Alma 58–61,"Administrative letters",medium,no
134,mc-c-134,government,multi,"Laws established and enforced",Alma 1|Helaman 4,"Legal norms",low,no
135,mc-c-135,warfare,multi,"Warfare around agricultural cycle",Alma 53–58,"Seasonal campaigns",medium,no
136,mc-c-136,warfare,multi,"Religion justifying war",Alma 43–48|3 Nephi 3,"Sacred war ideology",high,no
137,mc-c-137,warfare,multi,"Oracular guidance before battle",Alma 16:5–6|Alma 43:23,"Divination before war",medium,no
138,mc-c-138,warfare,multi,"Civil war plus external war",Alma 51|Alma 61,"Multi-front conflict",high,no
139,mc-c-139,warfare,multi,"Generational feuds",Mosiah 10|Alma 20,"Inherited enmities",medium,no
140,mc-c-140,warfare,multi,"Militia with captains",Alma 2|Alma 43,"Captains over units",high,no
141,mc-c-141,warfare,multi,"Units of ten thousand",Mormon 6,"Large unit counting",medium,yes
142,mc-c-142,warfare,multi,"Fortified cities as war aims",Alma 49–62,"Siege urban warfare",high,no
143,mc-c-143,warfare,multi,"Decoy and ambush tactics",Alma 43|Alma 52|Alma 58,"Complex tactics",high,no
144,mc-c-144,warfare,multi,"Night assassination of kings",Alma 51:33–37,"Night elite strikes",medium,no
145,mc-c-145,warfare,multi,"Court intrigue warfare (Amalickiah)",Alma 47,"Intrigue as strategy",medium,no
146,mc-c-146,warfare,multi,"Wilderness strip as buffer",Alma 22|Alma 50,"Buffer zones",high,no
147,mc-c-147,warfare,multi,"Narrow pass as strategic hinge",Alma 50–52|Mormon 3,"Chokepoint warfare",high,no
148,mc-c-148,warfare,multi,"Coastal corridor campaigns",Alma 51–52,"Littoral advance",high,no
149,mc-c-149,warfare,multi,"Prisoner exchange politics",Alma 54–55,"Captive diplomacy",medium,no
150,mc-c-150,warfare,multi,"Supply failure / war weariness",Alma 58–60,"Logistics collapse",medium,no
151,mc-c-151,warfare,multi,"Pacifist oath group",Alma 24,"Noncombatant converts",low,yes
152,mc-c-152,warfare,multi,"Stripling warrior youth force",Alma 56–57,"Elite youth units",medium,no
153,mc-c-153,warfare,multi,"Blood rhetoric and oaths",Alma 44|Alma 49,"Blood war rhetoric",medium,no
154,mc-c-154,warfare,multi,"Bodies cast into rivers",Alma 2:34–35|Alma 44:22,"River disposal of dead",medium,no
155,mc-c-155,warfare,multi,"Combined earthwork-timber forts",Alma 50–53,"Complex fortifications",high,no
156,mc-c-156,warfare,multi,"Spy networks",Alma 56–58,"Military intelligence",medium,no
157,mc-c-157,warfare,multi,"Strategic retreat northward",Mormon 2–6,"Grand withdrawal",high,no
158,mc-c-158,warfare,multi,"Genocidal end-stage war",Mormon 4–6|Ether 14–15,"Annihilative war",high,no
159,mc-c-159,warfare,multi,"Robber polities private war",3 Nephi 1–4,"Non-state armies",high,no
160,mc-c-160,warfare,multi,"Siege of gathered population",3 Nephi 4,"Investment siege",medium,no
161,mc-c-161,warfare,multi,"Captive sacrifice",Mormon 4:14–15,"War sacrifice",medium,yes
162,mc-c-162,warfare,multi,"Civilians in war zones",Moroni 9|Alma 54,"Civilian targeting",medium,no
163,mc-c-163,warfare,multi,"Title of liberty mobilization",Alma 46,"Mobilization ritual",medium,no
164,mc-c-164,warfare,multi,"Armor tech differential",Alma 43–44,"Armor advantage",medium,no
165,mc-c-165,warfare,multi,"City-by-city reconquest",Alma 62,"Sequential reconquest",high,no
166,mc-c-166,warfare,multi,"North/south boundary treaty",Mormon 2:28–29,"Formal border treaty",high,no
167,mc-c-167,warfare,multi,"Naval element secondary",Alma 63,"Limited naval war",low,no
168,mc-c-168,ideology_religion,multi,"Temple-centered worship",2 Nephi 5|3 Nephi 11,"Temple cult centers",high,no
169,mc-c-169,ideology_religion,multi,"Priestcraft condemned",Alma 1|2 Nephi 26,"Corrupt priestly enterprise",medium,no
170,mc-c-170,ideology_religion,multi,"Prophets vs court priests",Mosiah 11–17,"Prophetic critique",medium,no
171,mc-c-171,ideology_religion,multi,"Secret society oaths",Helaman 6|Ether 8,"Oath-bound societies",medium,no
172,mc-c-172,ideology_religion,multi,"Human sacrifice in apostasy",Mormon 4,"Sacrifice complexes",medium,yes
173,mc-c-173,ideology_religion,multi,"Baptism-like water ritual",Mosiah 18|3 Nephi 11,"Water purification",medium,yes
174,mc-c-174,ideology_religion,multi,"Sacred communal meal",3 Nephi 18|Moroni 4–5,"Sacred meals",medium,yes
175,mc-c-175,ideology_religion,multi,"Messianic signs and omens",Helaman 14|3 Nephi 1,"Prophetic omens",medium,yes
176,mc-c-176,ideology_religion,multi,"Three days darkness catastrophe",3 Nephi 8–10,"Volcanic darkness phenomena",high,no
177,mc-c-177,ideology_religion,multi,"Fire destruction of cities",3 Nephi 9,"Burned cities",medium,no
178,mc-c-178,ideology_religion,multi,"Rameumptom elevated stand",Alma 31:13–21,"Elevated cult platforms",medium,no
179,mc-c-179,ideology_religion,multi,"Prayer on towers",Helaman 7,"Elevated prayer sites",medium,no
180,mc-c-180,ideology_religion,multi,"Covenant name-taking",Mosiah 5|Alma 46,"Covenant naming",medium,no
181,mc-c-181,ideology_religion,multi,"Syncretism after disaster",4 Nephi|3 Nephi 6–7,"Cult mixing",medium,no
182,mc-c-182,ideology_religion,multi,"Pride cycle after prosperity",Helaman 3–4|4 Nephi,"Cyclical pride",medium,no
183,mc-c-183,ideology_religion,multi,"Destruction as judgment",3 Nephi 8–10,"Catastrophe theology",medium,no
184,mc-c-184,ideology_religion,multi,"Just war ethics (defensive)",Alma 43:45–47|Alma 48,"Just war norms",medium,no
185,mc-c-185,ideology_religion,multi,"Land covenant / curse motifs",Alma 37|Ether 2,"Land ideologies",medium,no
186,mc-c-186,ideology_religion,multi,"Anti-Christ rival teachers",Alma 30|Jacob 7,"Rival cult founders",low,no
187,mc-c-187,ideology_religion,multi,"Communal property phase",4 Nephi 1:3,"Communal experiments",low,yes
188,mc-c-188,ideology_religion,multi,"Seership stones",Mosiah 8|Alma 37,"Scrying analogies",low,yes
189,mc-c-189,ideology_religion,multi,"Resurrection doctrine (distinctive)",Alma 11|Alma 40,"Limited afterlife parallels only",low,yes
190,mc-c-190,ideology_religion,multi,"Fall of first parents",2 Nephi 2,"Distant origin parallels",low,yes
191,mc-c-191,ideology_religion,multi,"Feathered serpent / Christ parallels (interpretive)",3 Nephi 11,"Quetzalcoatl debates",low,yes
192,mc-c-192,ideology_religion,multi,"Calendar-linked omens",Helaman 14|3 Nephi 1,"Time-count omens",medium,no
193,mc-c-193,ideology_religion,multi,"Theophany at temple",3 Nephi 11,"Deity appearance claims",low,yes
194,mc-c-194,ideology_religion,multi,"Twelve disciples structure",3 Nephi 12–19,"Council of specialists",low,yes
195,mc-c-195,ideology_religion,multi,"Fasting and mourning rituals",Alma 30|Helaman 9,"Public mourning",low,no
196,mc-c-196,ideology_religion,multi,"Covenant renewal assemblies",Mosiah 2–5|3 Nephi 12–18,"Mass covenant rites",medium,no
197,mc-c-197,ideology_religion,multi,"Binary cosmic conflict imagery",1 Nephi 14,"Dualistic cosmologies",low,yes
198,mc-c-198,ideology_religion,multi,"Holy regalia of sacred records",Alma 37,"Text as sacred object",medium,no
199,mc-c-199,ideology_religion,multi,"Visionary religion reports",Mosiah 27|Alma 36,"Vision quests/visions",low,yes
200,mc-c-200,ideology_religion,multi,"Law transformation after Christ",3 Nephi 15,"Ritual law change",low,yes
201,mc-c-201,ideology_religion,multi,"Portents at deaths of leaders",3 Nephi 8,"Death portents",low,no
202,mc-c-202,archaeology_pre_600bc,pre_600bc,"Indigenous population present at arrival",2 Nephi 5|Omni 1:14–17,"Occupied landscape",medium,no
203,mc-c-203,archaeology_pre_600bc,pre_600bc,"Early complex society north of neck (Jaredite/Olmec analogy)",Ether 1–15,"Olmec-era complexity",medium,yes
204,mc-c-204,archaeology_pre_600bc,pre_600bc,"Great city by narrow neck",Ether 10:20,"Isthmian centers",medium,yes
205,mc-c-205,archaeology_pre_600bc,pre_600bc,"Multiple early writing systems",Mosiah 28|Ether,"Early scripts",medium,no
206,mc-c-206,archaeology_pre_600bc,pre_600bc,"Bones and ruins of prior people",Mosiah 8:8–11|Alma 22:30,"Abandoned centers",high,no
207,mc-c-207,archaeology_pre_600bc,pre_600bc,"Final Jaredite wars northward",Ether 13–15,"Terminal conflict zones",low,yes
208,mc-c-208,archaeology_pre_600bc,pre_600bc,"Moron near later Desolation",Ether 7:5–6,"Capital near isthmus north",medium,no
209,mc-c-209,archaeology_pre_600bc,pre_600bc,"Animals driven south by calamity",Ether 9:30–34,"Faunal stress narratives",low,yes
210,mc-c-210,archaeology_pre_600bc,pre_600bc,"Early metal claims (contested)",Ether 10,"Metal chronology debates",low,yes
211,mc-c-211,archaeology_pre_600bc,pre_600bc,"Rise and fall of early northern civilization",Ether 7–15|Mosiah 8,"Gulf trajectory",medium,yes
212,mc-c-212,archaeology_600bc_1bc,600bc_1bc,"Highland capital urbanization (Nephi/KJ analogy)",2 Nephi 5|Mosiah 11,"Kaminaljuyú growth",low,yes
213,mc-c-213,archaeology_600bc_1bc,600bc_1bc,"Defensive works in highlands",Mosiah 9:8|Jarom 1:7,"Walls/forts",low,yes
214,mc-c-214,archaeology_600bc_1bc,600bc_1bc,"Zarahemla basin settlement (Grijalva)",Omni 1:13|Alma 2,"Upper Grijalva sites",low,yes
215,mc-c-215,archaeology_600bc_1bc,600bc_1bc,"Dual populations one basin",Omni 1:14–19,"Multiethnic basins",high,no
216,mc-c-216,archaeology_600bc_1bc,600bc_1bc,"Migration pulses (Mosiah flights)",Omni|Mosiah 22–24,"Formative migrations",low,yes
217,mc-c-217,archaeology_600bc_1bc,600bc_1bc,"Fortification boom (Alma war era)",Alma 48–53,"Late Preclassic forts",medium,yes
218,mc-c-218,archaeology_600bc_1bc,600bc_1bc,"East-sea colonization program",Alma 50,"Coastal colonization",medium,no
219,mc-c-219,archaeology_600bc_1bc,600bc_1bc,"Rapid urban destruction (Ammonihah)",Alma 16,"Destruction layers",medium,no
220,mc-c-220,archaeology_600bc_1bc,600bc_1bc,"Complex Lamanite polities",Alma 22|Alma 47,"State-level Lamanites",medium,no
221,mc-c-221,archaeology_600bc_1bc,600bc_1bc,"Northward expansion interest",Alma 50:29|Alma 63,"Beyond isthmus",medium,no
222,mc-c-222,archaeology_600bc_1bc,600bc_1bc,"Trade growth in peace",Helaman 6,"Commercial florescence",medium,no
223,mc-c-223,archaeology_600bc_1bc,600bc_1bc,"Banditry rise (Gadianton)",Helaman 1–2,"Nonstate violence",medium,no
224,mc-c-224,archaeology_600bc_1bc,600bc_1bc,"Literacy in courts/churches",Alma 1–16,"Administrative complexity",medium,no
225,mc-c-225,archaeology_600bc_1bc,600bc_1bc,"Hybrid coastal cultures",Omni 1:14–16|Alma 51,"Gulf lowland centers",low,yes
226,mc-c-226,archaeology_600bc_1bc,600bc_1bc,"Ecological specialization highland/lowland",Enos 1:20|Mosiah 9,"Eco niches",low,yes
227,mc-c-227,archaeology_600bc_1bc,600bc_1bc,"Obsidian/tool politics",Enos 1:20,"Obsidian spheres",low,yes
228,mc-c-228,archaeology_600bc_1bc,600bc_1bc,"Watchtowers and military architecture",Mosiah 11:12|Alma 50,"Lookouts",medium,no
229,mc-c-229,archaeology_600bc_1bc,600bc_1bc,"Alliance warfare networks",Alma 43–48,"Alliance systems",medium,no
230,mc-c-230,archaeology_600bc_1bc,600bc_1bc,"Kings to judges political experiment",Mosiah 29,"Constitutional episode",low,no
231,mc-c-231,archaeology_600bc_1bc,600bc_1bc,"Omens guiding campaigns",Alma 16:5–6,"Ritual war timing",medium,no
232,mc-c-232,archaeology_ad1_200,ad1_200,"Civilization peak near turn of era",3 Nephi 6,"Complex society",medium,yes
233,mc-c-233,archaeology_ad1_200,ad1_200,"Natural disasters ~Christ death window",3 Nephi 8–10,"Volcanism/earthquakes",high,no
234,mc-c-234,archaeology_ad1_200,ad1_200,"Submerged coastal cities",3 Nephi 8:9|3 Nephi 9:4,"Coastal catastrophe",medium,yes
235,mc-c-235,archaeology_ad1_200,ad1_200,"Burned capitals",3 Nephi 8–9,"Burn layers",medium,no
236,mc-c-236,archaeology_ad1_200,ad1_200,"Landslide/mountain over cities",3 Nephi 8:10,"Mass-wasting burial",medium,yes
237,mc-c-237,archaeology_ad1_200,ad1_200,"Highways destroyed",3 Nephi 8:13,"Infrastructure collapse",medium,no
238,mc-c-238,archaeology_ad1_200,ad1_200,"Temple center continuity (Bountiful)",3 Nephi 11,"Cult center survival",low,yes
