n,id,title,bom_features,real_world,map_lab,confidence,contested,verse_hints,claim,source
11,mc-map-11-sidon-grijalva,"River Sidon ≈ Río Grijalva",sidon,"Río Grijalva (primary Sorenson proposal; Usumacinta is a known variant)",both,medium,no,Alma 2:15|Alma 2:34|Alma 22:27|Alma 43,"Only named river; military and settlement axis through Zarahemla land.","AAS / Codex"
12,mc-map-12-alma2-microtopo,"Alma 2 battle micro-topography",zarahemla|sidon|gideon,"Upper Grijalva: hill east of river, valley of Gideon, ford back to Sidon",constraint,high,no,Alma 2:15–17|Alma 2:34–35|Alma 6:7,"Battle begins on hill across Sidon east of capital; pursuit to Gideon; return to ford — precise local fit claimed for upper Grijalva.","Sorenson FAIR 2012 (explicit example of the 25)"
13,mc-map-13-gideon-east,"Gideon east of Sidon",gideon|sidon|zarahemla,"East bank / valley east of Grijalva from Zarahemla locus",both,high,no,Alma 6:7|Alma 2:20,"Text places Gideon east of river from Zarahemla.","Text + AAS"
14,mc-map-14-melek-west,"Melek west of Sidon",melek|sidon,"West of Grijalva relative to Zarahemla",both,high,no,Alma 8:3–6,"Melek west of Sidon; three days thence to Ammonihah.","Text + AAS city graph"
15,mc-map-15-manti-head-sidon,"Manti near head of Sidon",manti|sidon,"Upper Grijalva / highland approach south of Zarahemla basin",both,medium,no,Alma 16:6–7|Alma 22:27|Alma 43:22,"Manti associated with headwaters / southern approach and Lamanite invasion corridors.","AAS war geography"
16,mc-map-16-wilderness-strip,"Narrow strip of wilderness (Nephi–Zarahemla barrier)",wilderness|nephi|zarahemla,"Mountain barrier between Guatemala highlands and Chiapas depression",both,high,no,Omni 1:12–13|Alma 22:27|Mosiah 7:4,"Wilderness corridor separates Nephi highlands from Zarahemla; travel days limited-theater scale.","AAS / Mormon’s Map landform summary"
17,mc-map-17-bountiful-south-neck,"Bountiful on south side of neck",bountiful-nw|narrow-neck|desolation,"Approaches to Tehuantepec from land southward (north edge of land southward)",place,medium,no,Alma 22:29–33|Alma 27:22|Alma 52:9,"Bountiful borders Desolation at neck; fortification/pass control.","AAS Alma 22 package"
18,mc-map-18-desolation-north-neck,"Desolation north of neck",desolation|narrow-neck,"North/west of Tehuantepec (Gulf / isthmian north side)",place,medium,no,Alma 22:30–31|Mormon 3:5|Mosiah 8:8,"Desolation and bones/Jaredite associations north of the neck line.","AAS / Codex"
19,mc-map-19-jershon-east-sea,"Jershon by east sea",jershon|sea-east|bountiful-nw,"East coastal plain of land southward, south of Bountiful approaches",both,medium,no,Alma 27:22–24,"Ammonite land east by sea; south of Bountiful.","Text + AAS"
20,mc-map-20-east-sea-cities,"East-sea city chain (Moroni, Lehi, Morianton…)",lehi-city|morianton|sea-east|bountiful-nw,"Gulf/Caribbean coastal corridor of land southward toward the neck",constraint,medium,no,Alma 50:13–15|Alma 50:25–36|Alma 51:26,"Coastal cities and northward flight along seashore toward land northward.","AAS coastal chain"
21,mc-map-21-hagoth-west-port,"Hagoth shipping on west sea by neck",sea-west|narrow-neck|desolation,"Pacific side near Tehuantepec — launch into land northward",constraint,high,no,Alma 63:5–8,"Shipbuilding on west sea by narrow neck; voyages northward.","AAS / Codex"
22,mc-map-22-cumorah-vigia,"Hill Cumorah / Ramah ≈ Cerro El Vigía region",cumorah|desolation,"Cerro El Vigía, Tuxtla Mountains, south-central Veracruz",site_pin,low,yes,Mormon 6:2–6|Ether 15:11,"Final battle hill in land of many waters northward — classic limited-model southern Cumorah.","Sorenson FAIR 2012 (explicit example of the 25)"
23,mc-map-23-mulek-la-venta,"City of Mulek ≈ La Venta (isthmian)",mulek|narrow-neck|sea-east,"La Venta region, Tabasco / isthmian lowlands",site_pin,low,yes,Alma 51:26|Alma 52–53,"East-sea / neck-adjacent city correlation in some Codex presentations.","Sorenson public summaries (site-level)"
24,mc-map-24-jaredite-great-city-neck,"Jaredite great city by narrow neck",narrow-neck|sea-east|sea-west,"Olmec heartland isthmian cities (e.g. San Lorenzo tradition as ‘great city by neck’ analogy)",constraint,low,yes,Ether 10:20,"Great city by the narrow neck where sea divides land — isthmian archaeology analogy.","Codex archaeology-before-600 / Jaredite sections (public outline)"
25,mc-map-25-jerusalem-atitlan,"Lamanite Jerusalem ≈ Lake Atitlán submergence tradition",nephi,"Lake Atitlán, Guatemala (submerged-ruin folklore used as speculative parallel)",site_pin,low,yes,Alma 21:1–2|3 Nephi 9:7,"Highly speculative site link for city of Jerusalem destruction/waters; keep contested.","Sorenson public summaries; contested even within LDS scholarship"
