ref,book,chapter,verse,claim,feature_ids,confidence,source,tags
Alma 50:13–15,Alma,50,13,"Cities of Moroni, Lehi, Morianton by east sea south of Bountiful corridor",sea-east|morianton|lehi-city|bountiful-nw,medium,"AAS coastal chain",sea-east|cities
Alma 50:25–36,Alma,50,25,"Morianton dispute; flight northward toward land northward via borders by seashore",morianton|bountiful-nw|desolation|narrow-neck,high,"AAS neck transit",narrow_neck|travel
Alma 51:26–28,Alma,51,26,"Amalickiah takes east-sea cities toward Bountiful",sea-east|mulek|bountiful-nw,medium,"AAS",war|sea-east
Alma 52:9,Alma,52,9,"Keep pass that leads by the sea into land northward; Bountiful fortification",narrow-neck|bountiful-nw|sea-east,high,"AAS",narrow_neck|bountiful
Alma 63:4–5,Alma,63,5,"Hagoth ships on west sea by narrow neck; launch into land northward",sea-west|narrow-neck|desolation,high,"AAS Pacific / neck port",hagoth|sea-west|narrow_neck
Helaman 3:3–9,Helaman,3,3,"Many migrate to land northward; timber; cement houses — model links to northern Mesoamerica",desolation,medium,"AAS / Codex cement discussion",land_northward|cement
Helaman 4:5–8,Helaman,4,7,"Fortification line from west sea to east; Bountiful retained",sea-west|sea-east|bountiful-nw,high,"AAS",fortification|seas
3 Nephi 3:23,3 Nephi,3,23,"Gather to Zarahemla and Bountiful; land southward defense",zarahemla|bountiful-nw,medium,"AAS",zarahemla|bountiful
Mormon 1:6–7,Mormon,1,6,"Mormon taken to Zarahemla; land southward still occupied early",zarahemla,medium,"AAS",zarahemla
Mormon 2:3–6,Mormon,2,3,"Nephite retreat northward; Angola; land of David; land of Joshua by west sea",joshua|sea-west|desolation,medium,"AAS retreat map",retreat|sea-west
Mormon 2:16–17,Mormon,2,16,"Battle near borders of Desolation; Jashon",desolation,medium,"AAS",desolation|war
Mormon 2:20–21,Mormon,2,20,"Gather to Shem; northward pressure",desolation,low,"AAS",war
Mormon 2:28–29,Mormon,2,29,"Treaty: Nephites land northward, Lamanites land southward — neck as boundary",narrow-neck|desolation|bountiful-nw,high,"AAS",narrow_neck|treaty
Mormon 3:5–7,Mormon,3,5,"Gather to Desolation; city by narrow pass into land southward",desolation|narrow-neck,high,"AAS",desolation|narrow_pass
Mormon 4:1–3,Mormon,4,1,"Battles at Desolation / Teancum; coastal northward war",desolation,medium,"AAS",war
Mormon 6:1–6,Mormon,6,2,"Gather to land of Cumorah; hill Cumorah; many waters / rivers / fountains region",cumorah,high,"AAS southern Cumorah",cumorah
Ether 9:3,Ether,9,3,"Jaredite flee to Ablom by seashore east; hill east of Shim / Cumorah region",cumorah|sea-east,low,"AAS Jaredite north",jaredite|cumorah
Ether 10:19–21,Ether,10,20,"Great city by narrow neck; sea east and west; animals in land southward",narrow-neck|sea-east|sea-west,high,"AAS Jaredite neck",narrow_neck|jaredite
Ether 15:11,Ether,15,11,"Hill Ramah = same hill as Cumorah in Nephite record tradition",cumorah,high,"Text + AAS",cumorah|ramah
