n,id,site_name,lat,lng,region,eras,bom_features,correlation,confidence,contested,pass_a_ids,verse_hints
11,site-grijalva-basin,"Upper/middle Grijalva basin (region)",16.4,-92.8,"Chiapas, Mexico",600bc_1bc|ad1_200|ad200_400,zarahemla|sidon|gideon|melek|manti|minon,"Land of Zarahemla / Sidon corridor (Grijalva = Sidon primary proposal).",medium,no,mc-map-09-zarahemla-grijalva|mc-map-11-sidon-grijalva|mc-map-12-alma2-microtopo,Alma 2:15|Alma 6:7|Alma 8:3|Alma 22:27|Alma 43
12,site-chiapa-de-corzo,"Chiapa de Corzo",16.708,-93,"Chiapas, Mexico",600bc_1bc|ad1_200,zarahemla|sidon,"Major Grijalva-area center in Zarahemla-land sphere (regional support pin, not ‘the’ capital).",low,yes,mc-map-09-zarahemla-grijalva,Omni 1:13|Alma 2
13,site-mirador-chiapas,"Mirador (Chiapas) / middle Grijalva zone",16.75,-93.15,"Chiapas, Mexico",600bc_1bc,zarahemla|sidon,"Additional Central Depression occupation in Sidon-corridor model space.",low,yes,mc-map-11-sidon-grijalva,Alma 22:27
14,site-sierra-madre-barrier,"Sierra Madre / highland–basin barrier (region)",15.5,-92.3,"Guatemala–Chiapas mountain belt",600bc_1bc|multi,wilderness|nephi|zarahemla,"Narrow strip / wilderness mountain barrier between Nephi highlands and Zarahemla basin.",medium,no,mc-map-16-wilderness-strip,Omni 1:12–13|Mosiah 7:4|Alma 22:27|Mosiah 24:25
15,site-pacific-coast-soconusco,"Pacific coast / Soconusco corridor",14.7,-92.3,"Chiapas / Guatemala Pacific piedmont",600bc_1bc|pre_600bc|multi,sea-west,"West sea littoral of land southward; trade and travel corridor.",medium,no,mc-map-03-sea-west,Alma 22:27–28|Alma 53:8|Alma 53:22
16,site-tehuantepec-pacific-port,"Tehuantepec Pacific approaches",16.33,-95.23,"Oaxaca coast / isthmus Pacific side",600bc_1bc|ad1_200,sea-west|narrow-neck|bountiful-nw|desolation,"Hagoth launch zone: west sea by the narrow neck.",medium,no,mc-map-21-hagoth-west-port,Alma 63:5–8
17,site-gulf-coastal-plain-east,"Gulf coastal plain (east sea theater)",18.1,-93.5,"Tabasco / southern Veracruz coastal plain",600bc_1bc|ad200_400,sea-east|jershon|lehi-city|morianton|mulek,"East-sea city chain and Jershon coastal plain in land southward / neck approaches.",medium,no,mc-map-04-sea-east|mc-map-19-jershon-east-sea|mc-map-20-east-sea-cities,Alma 27:22|Alma 50:13–15|Alma 51:26|Alma 52:22–27
18,site-coatzacoalcos,"Coatzacoalcos River mouth region",18.15,-94.43,"Veracruz, Mexico",pre_600bc|600bc_1bc|ad200_400,narrow-neck|sea-east|desolation,"Eastern isthmian riverine/coastal node near neck — soft support for pass/coast logistics.",low,yes,mc-map-02-narrow-pass|mc-map-01-narrow-neck,Alma 50:34|Mormon 3:5|Mormon 4:2–3
19,site-izapa,"Izapa",14.92,-92.18,"Chiapas Pacific piedmont, Mexico",600bc_1bc|ad1_200,sea-west|nephi,"Pacific-slope ceremonial center in west-sea / southern highlands interaction sphere (soft).",low,yes,mc-map-03-sea-west,Alma 22:28
20,site-takalik-abaj,"Tak’alik Ab’aj",14.61,-91.73,"Retalhuleu, Guatemala",600bc_1bc|ad1_200,sea-west|nephi,"Pacific piedmont city in broader Nephi–west-sea southern sphere (regional, soft).",low,yes,mc-map-07-nephi-highlands|mc-map-03-sea-west,Alma 22:27–28
21,site-el-mirador-peten,"El Mirador (Petén) — OUTSIDE core Sorenson theater",17.755,-89.92,"Petén, Guatemala",600bc_1bc|ad1_200,,"Not a primary Sorenson pin — listed to show contrast: large Preclassic Maya cities east of core Grijalva–highland model.",low,yes,,
22,site-usumacinta-corridor,"Usumacinta corridor (variant Sidon tradition)",16.9,-90.8,"Guatemala–Mexico border rivers",600bc_1bc|ad200_400,sidon,"Alternate Sidon = Usumacinta proposal (NOT default Sorenson Grijalva).",low,yes,mc-map-11-sidon-grijalva,Alma 2:15|Alma 22:27|Alma 43
23,site-comitan-plateau,"Comitán / eastern Chiapas uplands",16.25,-92.13,"Chiapas, Mexico",600bc_1bc,manti|wilderness|sidon,"Soft zone for upper Sidon / Manti approaches south of Zarahemla basin.",low,yes,mc-map-15-manti-head-sidon,Alma 16:6–7|Alma 43:22|Alma 56–58
24,site-tonala-isthmus-pacific,"Tonalá / northwest Chiapas Pacific",16.09,-93.75,"Chiapas, Mexico",600bc_1bc|multi,sea-west|narrow-neck,"West-sea approach toward isthmus from land southward.",low,yes,mc-map-03-sea-west|mc-map-21-hagoth-west-port,Alma 63:5|Alma 22:28
25,site-minatitlan-isthmus,"Minatitlán / mid-isthmus lowlands",17.99,-94.55,"Veracruz, Mexico",multi|ad200_400,narrow-neck|desolation|bountiful-nw,"Lowland interior of neck — flood plain context for elevated ‘narrow pass’ claims.",low,yes,mc-map-02-narrow-pass,Alma 50:34|Alma 52:9|Mormon 3:5
26,site-tuxtla-statuette-region,"Tuxtlas epi-Olmec region",18.5,-95.15,"Veracruz, Mexico",600bc_1bc|ad1_200,desolation|cumorah,"Literacy/complex society north of neck in model’s land northward.",low,yes,mc-map-18-desolation-north-neck,Helaman 3:3–15|Mosiah 8:8–11
27,site-palenque-contrast,"Palenque — OUTSIDE primary AAS city list",17.484,-92.046,"Chiapas, Mexico",ad200_400,,"Classic Maya showpiece often misused in popular BoM maps; listed as contrast (not Sorenson capital).",low,yes,,
28,site-monte-alban-contrast,"Monte Albán — OUTSIDE core limited theater",17.044,-96.768,"Oaxaca, Mexico",600bc_1bc|ad1_200|ad200_400,,"Major Oaxaca capital west of isthmus — not a standard Sorenson BoM city pin.",low,yes,,
29,site-angostura-reservoir,"Angostura reservoir (Santa Rosa underwater)",16.1,-92.6,"Chiapas, Mexico",multi,zarahemla,"Modern marker that Zarahemla candidate Santa Rosa is inundated — correlation historical/archival.",medium,no,mc-map-10-city-zarahemla-santa-rosa,Omni 1:13
30,site-guatemala-city-urban,"Modern Guatemala City over Kaminaljuyú",14.63,-90.55,"Guatemala",multi,nephi,"Urban overburden on Nephi candidate — archaeology constrained by city growth.",medium,no,mc-map-08-city-nephi-kj,2 Nephi 5:8
